entry,attribution
AHUNGERED,Bronté
AID,Shak
AID,Hallam
AID,Blackstone
AIDANCE,Shak
AIDANT,Shak
AIDFUL,Hall
AIDLESS,Milton
AIGRET; AIGRETTE,Prescott
AIGULET,Spenser
AIL,Richardson
AIL,Pope
AILETTE,Fairholt
AIM,Milton
AIM,Shak
AIM,Shak
AIR,Pope
AIR,Wordsworth
AIR,Dryden
AIR,Pope
AIR,Thackeray
AIR,Cyc
AIR,Fairholt
AIR,Bacon
AIR,Shak
AIR,Tennyson
AIR BRAKE,Knight
AIR-DRAWN,Shak
AIR DRILL,Knight
AIR ENGINE,Knight
AIRLING,Jonson
AIRY,Roscommon
AIRY,Taylor
AIRY,Elmes
AIT,Dickens
AKINESIA,Foster
ALABASTER,Fosbroke
ALABASTRUM,Gray
ALACRIOUS,Hammond
ALACRITY,Shak
ALAMODE,Buchanan
ALAND,Sidney
ALAR,Gray
ALARM,Shak
ALARM,Pope
ALARM,Macaulay
ALARM,Macaulay
ALARMED,Longfellow
ALARMIST,Macaulay
ALARY,Wollaston
ALATE,Latimer
ALBE; ALBEE,Spenser
ALBEIT,Chaucer
ALBEIT,Tennyson
ALBINESS,Holmes
ALBINO,Cyc
ALBION,Shak
ALBUMINOID,Brunton
ALBYN,Cambell
ALCAZAR,Prescott
ALCHEMIST,Shak
ALCHEMISTIC; ALCHEMISTICAL,Burke
ALCHEMIZE,Lovelace
ALCHEMY,Milton
ALCHEMY,Shak
ALCOHOL,The Sp
ALCOHOLATURE,New Eng
ALCOHOLOMETRIC; ALCOHOLOMETRICAL; ALCOHOLMETRICAL,Ure
ALCOVE,Cowper
ALCOVE,Falconer
ALDEBARAN,Spenser
ALDEHYDIC,Miller
ALDERMANRY,Jonson
ALDERMANSHIP,Fabyan
ALEATORY,Bouvier
ALEBENCH,Bunyan
ALECITHAL,Balfour
ALECTRYOMANCY,Cyc
ALEGAR,Cecil
ALEGGE,Spenser
ALEMANNIC,Cyc
ALENGTH,Chaucer
ALERT,Addison
ALETHIOLOGY,Hamilton
ALEUROMANCY,Brit
ALEUROMETER,Knight
ALEURONIC,Eaton
ALEWIFE,Alewives
ALEWIFE,Gay
ALEXANDRINE,Bancroft
ALEXANDRINE,Pope
ALFERES,Fletcher
ALFRESCO,Smollett
ALGATE; ALGATES,Spenser
ALGONQUIN; ALGONKIN,Lawrence
ALGUAZIL,Prescott
ALICANT,Fletcher
ALIEN,Wordsworth
ALIEN,Abbott
ALIEN,Hale
ALIEN,Clarendon
ALIENAGE,Kent
ALIENAGE,Story
ALIENAGE,Brougham
ALIENATE,Milton
ALIENATE,Macaulay
ALIENATE,Taylor
ALIENATION,Bacon
ALIENEE,Blackstone
ALIENISM,Kent
ALIENIST,Rev
ALIENOR,Blackstone
ALIMENTALLY,Browne
ALIMENTATION,Bacon
ALIMONY,Burrill
ALINER,Evelyn
ALITRUNK,Kirby
